Empresa,Segmento,Cidade,WhatsApp,Link WhatsApp,Endereço,Presença digital encontrada,Prioridade,Oportunidade para landing page,Fonte pública,Verificado em
Fogazzu Pizzaria,Pizzaria,Joinville/SC,+55 47 99148-8828,https://wa.me/5547991488828,"Rua Oscar A. Schneider, 63",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Fábrica da Pizza,Pizzaria,Joinville/SC,+55 47 99914-8184,https://wa.me/5547999148184,"Rua Santa Catarina, 4126",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Galeria Pizzas,Pizzaria,Joinville/SC,+55 47 99213-1188,https://wa.me/5547992131188,"Rua Tuiuti, 4268",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Gran Pizza Boa Vista,Pizzaria,Joinville/SC,+55 47 99972-1450,https://wa.me/5547999721450,"Rua Prefeito Helmuth Fallgatter, 1485",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Gringo's Pizza,Pizzaria,Joinville/SC,+55 47 99760-1070,https://wa.me/5547997601070,"Rua Coronel Vieira, 497",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
House Pizzaria,Pizzaria,Joinville/SC,+55 47 99698-1842,https://wa.me/5547996981842,"Rua Anita Garibaldi, 2048",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
iGoPizzas,Pizzaria,Joinville/SC,+55 47 99738-4240,https://wa.me/5547997384240,"Rua Alexandre Schlemm, 300",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
La Casa de Pizza,Pizzaria,Joinville/SC,+55 47 99974-8466,https://wa.me/5547999748466,Rua Minas Gerais,Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
La Spezia Pizzaria,Pizzaria,Joinville/SC,+55 47 98409-4123,https://wa.me/5547984094123,"Rua Baercker Wagner, 139",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
La Vecchia Pizza,Pizzaria,Joinville/SC,+55 47 99988-8991,https://wa.me/5547999888991,"Rua Laguna, 381",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Rei dos Lanches,Lanchonete e pizzaria,Joinville/SC,+55 47 98868-0086,https://wa.me/5547988680086,"Rua Minas Gerais, 5350",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Lanchou Lanches e Pizzas,Lanchonete e pizzaria,Joinville/SC,+55 47 98424-1006,https://wa.me/5547984241006,"Rua Tuiuti, 2062",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Los Rios Pizzaria - Fátima,Pizzaria,Joinville/SC,+55 47 99914-8542,https://wa.me/5547999148542,"Rua Miosotes, 275",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Mascarello Pizzaria,Pizzaria,Joinville/SC,+55 47 99776-3819,https://wa.me/5547997763819,"Avenida Kurt Meinert, 1170",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Mega Rodízio Papadelli,Pizzaria,Joinville/SC,+55 47 99608-6466,https://wa.me/5547996086466,"Rua Tuiuti, 1270",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Mrs. Pizza Frita,Pizzaria,Joinville/SC,+55 47 99745-9278,https://wa.me/5547997459278,"Rua Prefeito Helmuth Fallgatter, 1585",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Natus Vinceri Pizzaria,Pizzaria,Joinville/SC,+55 47 99238-0967,https://wa.me/5547992380967,"Rua Senador Rodrigo Lobo, 1682",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Olympia Pizza Fit,Pizzaria,Joinville/SC,+55 47 99744-1407,https://wa.me/5547997441407,"Rua Oscar A. Schneider, 63",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Papadelli Delivery,Pizzaria,Joinville/SC,+55 47 99761-0994,https://wa.me/5547997610994,"Rua Florianópolis, 1179",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Petry Pizza,Pizzaria,Joinville/SC,+55 47 98817-5827,https://wa.me/5547988175827,"Estrada Palmeira, 890",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizza Ville,Pizzaria,Joinville/SC,+55 47 99671-1119,https://wa.me/5547996711119,"Estrada Timbé, 6027",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Bom de Garfo,Pizzaria,Joinville/SC,+55 47 99938-3479,https://wa.me/5547999383479,"Rua Pavão, 638",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Braziliana,Pizzaria,Joinville/SC,+55 47 98432-3688,https://wa.me/5547984323688,"Rua Ernesto Bachtold, 3059",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Capri,Pizzaria,Joinville/SC,+55 47 98914-4215,https://wa.me/5547989144215,"Rua Albano Schmidt, 1554",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Casa Di Francisca,Pizzaria,Joinville/SC,+55 47 99680-5915,https://wa.me/5547996805915,"Rua Inácio Bastos, 173",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Dom Lorenzo,Pizzaria,Joinville/SC,+55 47 98855-5616,https://wa.me/5547988555616,"Estrada Lagoinha, 794",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Don Frederico,Pizzaria,Joinville/SC,+55 47 99940-4113,https://wa.me/5547999404113,"Rua Adolfo da Veiga, 497",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Falabretti,Pizzaria,Joinville/SC,+55 47 99696-5243,https://wa.me/5547996965243,"Avenida Júpiter, 1090",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Guanabara,Pizzaria,Joinville/SC,+55 47 98423-5555,https://wa.me/5547984235555,"Rua Santo Agostinho, 26",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Joinville,Pizzaria,Joinville/SC,+55 47 99659-7394,https://wa.me/5547996597394,"Rua Prefeito Helmuth Fallgatter, 2271",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Ki-Sabor,Pizzaria,Joinville/SC,+55 47 99771-3736,https://wa.me/5547997713736,"Rua Tenente Antonio João, 1622",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Lisboa Delivery,Pizzaria,Joinville/SC,+55 47 99145-8309,https://wa.me/5547991458309,"Rua Alois Finder, 1043",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Luziana,Pizzaria,Joinville/SC,+55 47 98863-2619,https://wa.me/5547988632619,"Rua Bom Retiro, 319",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Risso,Pizzaria,Joinville/SC,+55 47 99749-9480,https://wa.me/5547997499480,"Rua Perseus, 172",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Santory,Pizzaria,Joinville/SC,+55 47 99904-3700,https://wa.me/5547999043700,"Rua Francisco Cristofolini, 326",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Tempero Napolitano,Pizzaria,Joinville/SC,+55 47 99601-1283,https://wa.me/5547996011283,"Rua Campo Erê, 300",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Tip Ti e Restaurante,Restaurante e pizzaria,Joinville/SC,+55 47 99208-0324,https://wa.me/5547992080324,"Rua Anita Garibaldi, 142",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Pizzaria Tomazia,Pizzaria,Joinville/SC,+55 47 98427-8083,https://wa.me/5547984278083,"Rua Frontin, 1822",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/pizzarias/,2026-09-16
Alohanycookiess,Confeitaria,Joinville/SC,+55 47 99238-3754,https://wa.me/5547992383754,Endereço não informado,Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Amores Caseiros Doces,Confeitaria,Joinville/SC,+55 47 98447-0622,https://wa.me/5547984470622,Endereço não informado,Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Andressa Souza Cake Design,Confeitaria,Joinville/SC,+55 47 99759-5253,https://wa.me/5547997595253,"Rua Antônio de Oliveira, 668",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Ateliê do Pudim,Confeitaria,Joinville/SC,+55 47 99184-0750,https://wa.me/5547991840750,Rua Senador Felipe Schmidt,Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Bebel Brownies,Confeitaria,Joinville/SC,+55 47 99688-4851,https://wa.me/5547996884851,"Rua Maracujá, 274",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Belli Cookies Artesanais,Confeitaria,Joinville/SC,+55 47 99932-8627,https://wa.me/5547999328627,"Rua Professora Ada Xavier da Silveira, 45",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Bem Bolado Sorvetes,Sorveteria e confeitaria,Joinville/SC,+55 47 98902-9791,https://wa.me/5547989029791,"Avenida Alvino Hansen, 299",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Berola Joinville,Confeitaria,Joinville/SC,+55 47 98897-9330,https://wa.me/5547988979330,"Rua Otto Boehm, 525",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Bocky Doceria,Confeitaria,Joinville/SC,+55 47 99672-4845,https://wa.me/5547996724845,"Rua Perdiz, 257",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Cake de La Crème,Confeitaria,Joinville/SC,+55 47 98461-2662,https://wa.me/5547984612662,"Rua Visconde de Mauá, 1744",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Cantinho da Mai,Confeitaria,Joinville/SC,+55 47 99982-1674,https://wa.me/5547999821674,"Rua Harold Carlos Miers, 866",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Capim Limão Cakes,Confeitaria,Joinville/SC,+55 47 99795-8550,https://wa.me/5547997958550,"Rua Polônia, 801",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Choco Crush Doceria,Confeitaria,Joinville/SC,+55 47 99232-3341,https://wa.me/5547992323341,"Rua Aquarius, 838",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Chokonina,Confeitaria,Joinville/SC,+55 47 98872-4804,https://wa.me/5547988724804,"Rua Oscar A. Schneider, 140",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Cindy Doces,Confeitaria,Joinville/SC,+55 47 98906-3757,https://wa.me/5547989063757,"Servidão Oliveira Bernardes, 5048",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Céu Doces Finos,Confeitaria,Joinville/SC,+55 47 99958-4567,https://wa.me/5547999584567,"Rua Belmont, 48",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Delícias VR,Confeitaria,Joinville/SC,+55 47 99661-5340,https://wa.me/5547996615340,"Rua João da Costa Júnior, 2512",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Delícious Gourmet,Confeitaria,Joinville/SC,+55 47 99907-4568,https://wa.me/5547999074568,Endereço não informado,Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Dierk Doces e Salgados,Confeitaria,Joinville/SC,+55 47 99788-4046,https://wa.me/5547997884046,"Rua Telêmaco Borba, 552",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Doce Mania,Confeitaria,Joinville/SC,+55 47 99781-7381,https://wa.me/5547997817381,"Rua Francisco Alves, 435",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Dolce Fino,Confeitaria,Joinville/SC,+55 47 99111-8020,https://wa.me/5547991118020,"Rua Max Heiden, 121",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Dona Chica,Confeitaria,Joinville/SC,+55 47 99943-3704,https://wa.me/5547999433704,"Rua Carlos Willy Boehm, 120",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Festival da Gula,Confeitaria,Joinville/SC,+55 47 99247-1407,https://wa.me/5547992471407,"Rua Tuiuti, 2146",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Fuxico Doce,Confeitaria,Joinville/SC,+55 47 99743-9311,https://wa.me/5547997439311,"Rua Tubarão, 321",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Gi Bolos e Doces,Confeitaria e padaria,Joinville/SC,+55 47 99621-0858,https://wa.me/5547996210858,"Rua Agulhas Negras, 1268",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Infinity Doces e Bolos Artísticos,Confeitaria,Joinville/SC,+55 47 98867-3043,https://wa.me/5547988673043,"Rua Campo Limpo Paulista, 150",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Jaque Balland Brigaderia Artesanal,Confeitaria,Joinville/SC,+55 47 99640-5854,https://wa.me/5547996405854,"Rua Alcides Linhares Medeiros, 411",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Juli Gabi Bolos Personalizados,Confeitaria,Joinville/SC,+55 47 98821-4552,https://wa.me/5547988214552,Endereço não informado,Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Lu Doces e Salgados,Confeitaria,Joinville/SC,+55 47 99626-3343,https://wa.me/5547996263343,"Rua Manoel Francisco de Oliveira, 309",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Maná dos Céus Doceria,Confeitaria,Joinville/SC,+55 47 98866-3799,https://wa.me/5547988663799,"Rua Levino Artmann, 73",Diretório de alimentação,Alta,"Criar página própria com cardápio, fotos, localização, promoções e pedido no WhatsApp",https://fasty.food/catalogo/sc/joinville/doces/,2026-09-16
Clínica Rennova,Clínica de estética,Joinville/SC,+55 47 99940-2442,https://wa.me/5547999402442,"Rua Aquidaban, 263 - Glória",Site próprio,Média,Página focada em avaliação e campanhas pode aumentar agendamentos,https://clinicarennova.com.br/,2026-09-16
Viesi Clínica,Clínica multidisciplinar,Joinville/SC,+55 47 99616-9192,https://wa.me/5547996169192,"Rua Expedicionário Holz, 550, sala 715",Instagram,Alta,"Centralizar especialidades, prova social e agendamento em uma página",https://www.instagram.com/viesiclinica/,2026-09-16
Clínica Firenza,Clínica de estética,Joinville/SC,+55 47 99208-5763,https://wa.me/5547992085763,Joinville/SC,Site próprio,Média,Landing específica para procedimentos e captação de avaliações,https://www.firenza.com.br/,2026-09-16
Royal Face Joinville,Clínica de estética,Joinville/SC,+55 47 99611-6411,https://wa.me/5547996116411,"Rua Princesa Isabel, 435 - Centro",Página de rede,Média,Campanhas locais podem usar página exclusiva da unidade,https://royalface.com.br/unidade/joinville-sc/,2026-09-16
Social Clin Joinville,Clínica,Joinville/SC,+55 47 99675-0275,https://wa.me/5547996750275,"Edifício Centro Médico - térreo, sala 2",Instagram,Alta,Presença baseada em rede social; oportunidade de agendamento próprio,https://www.instagram.com/p/DOoI6ybjV6g/,2026-09-16
Progastro Joinville,Clínica médica,Joinville/SC,+55 47 98496-8224,https://wa.me/5547984968224,Joinville/SC,Instagram,Alta,"Landing com especialidades, convênios e agendamento",https://www.instagram.com/p/DBjG6ZAO-1o/,2026-09-16
Clara Odontologia,Clínica odontológica,Joinville/SC,+55 47 99753-1977,https://wa.me/5547997531977,Joinville/SC,Facebook,Alta,Página moderna pode apresentar tratamentos e captar avaliações,https://www.facebook.com/ClaraOdontologiaFF/,2026-09-16
DentalCo Joinville,Clínica odontológica,Joinville/SC,+55 47 99229-7279,https://wa.me/5547992297279,Joinville/SC,Facebook,Alta,"Landing para tratamentos, antes e depois e agendamento",https://www.facebook.com/dentalco.joinville/,2026-09-16
Dentistas Pirabeiraba,Clínica odontológica,Joinville/SC,+55 47 99965-3586,https://wa.me/5547999653586,Pirabeiraba - Joinville/SC,Facebook,Alta,Presença local pode converter melhor com página própria,https://www.facebook.com/dentistaspirabeiraba/,2026-09-16
